a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.01041832,0.2687019,0.4133875384615384,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-385.87150000000002592,-276.46530000000001337,-368.11948710839380008,-34804.370312126229692,-33462.965689286247652,-34586.71690530361842
0.01041895,0.4039004,0.6213852307692307,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-462.14030000000002474,-331.348700000000008,-440.91833845381886786,-41683.46602305151464,-40089.132519018327002,-41424.772924149287956
0.01041981,0.5919636,0.9107132307692308,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-536.657100000000014,-384.91989999999998417,-512.0365507940479524,-48402.243598716551787,-46556.15188178736571,-48102.700757835372013
0.0104213,0.4533349,0.6974383076923076,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-484.47019999999997708,-347.435799999999972,-462.23529525608670693,-43688.768979327767738,-42020.163912133335543,-43418.02473755869775
0.01042215,0.5299694,0.8153375384615384,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-514.97519999999997253,-369.37819999999999254,-491.35094633814908086,-46436.805166407022625,-44665.423804194164404,-46149.384665759401916
0.0104245,0.4864863,0.7484404615384614,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-498.32979999999997744,-357.4474999999999909,-475.4705433417928989,-44925.962415274545492,-43212.01078514213441,-44647.860338484559183
0.01043321,0.4265155,0.6561776923076923,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-473.22239999999999327,-339.5310999999999808,-451.52993941645358197,-42628.8376128649179,-41004.067603413721372,-42365.20595255980956
0.01044629,0.311127,0.47865692307692304,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-413.94510000000002492,-297.05399999999997362,-394.97860345671424045,-37244.67289680669637,-35822.919437523531087,-37013.98226192603734
0.01044705,0.2115515,0.32546384615384616,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-344.64859999999998763,-250.39519999999998845,-329.35524759512971396,-31043.622979985640995,-29927.817433273572533,-30862.574790305726987
0.01045104,0.3842579,0.591166,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-453.96460000000001855,-325.93419999999997572,-433.1906647813606521,-40828.396761649019027,-39276.62272736991872,-40576.60927006826365
0.01046362,0.3510935,0.5401438461538461,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-437.3143999999999778,-314.1116000000000099,-417.32378069431179268,-39286.281052036480105,-37794.75789841345977,-39044.269737766854128
0.01046501,0.04753057,0.07312395384615385,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-126.96179999999999666,-102.03300000000000125,-122.91690694117633359,-11522.061757063600453,-11301.436723106240606,-11486.263617223059917
0.01046869,0.04953792,0.0762121846153846,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-131.86109999999999332,-105.182800000000000296,-127.53233686293702537,-11956.739621153479675,-11696.129999505097658,-11914.453668774374784
